,name,url
0,Statewide Portable Restrooms & Pumping Services,https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836734-statewide-portable-restrooms--pumping-services.html
1,Statewide Portable Restrooms & Pumping Services,https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836734-statewide-portable-restrooms--pumping-services.html
2,RFI- StarLIMS Host and/or Upgrade,https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836723-rfi--starlims-host-andor-upgrade.html
3,RFI- StarLIMS Host and/or Upgrade,https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836723-rfi--starlims-host-andor-upgrade.html
4,Community Based Therapists- Treatment Program for Sexual Abusers,https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836712-community-based-therapists--treatment-program-for-sexual-abusers.html
5,Community Based Therapists- Treatment Program for Sexual Abusers,https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836712-community-based-therapists--treatment-program-for-sexual-abusers.html
6,15A112 - IM Deck (42) & IM Deck (43) & IM Deck (44) & IM Deck (45),https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836063-15a112---im-deck-42--im-deck-43--im-deck-44--im-deck-45.html
7,15A112 - IM Deck (42) & IM Deck (43) & IM Deck (44) & IM Deck (45),https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836063-15a112---im-deck-42--im-deck-43--im-deck-44--im-deck-45.html
8,"The Government Is Seeking To Lease Office and Related Space in for a Minimum of 55,091 Ansi/boma Office Area",https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9834170-the-government-is-seeking-to-lease-office-and-related-space-in-for-a-minimum-of-55091-ansiboma-office-area.html
9,"The Government Is Seeking To Lease Office and Related Space in for a Minimum of 55,091 Ansi/boma Office Area",https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9834170-the-government-is-seeking-to-lease-office-and-related-space-in-for-a-minimum-of-55091-ansiboma-office-area.html
10,Interior and Exterior Painting of Post Office,https://americasbiz.net/bid_opportunities/2019/11/02/state/46/9838350-interior-and-exterior-painting-of-post-office.html
11,Interior and Exterior Painting of Post Office,https://americasbiz.net/bid_opportunities/2019/11/02/state/46/9838350-interior-and-exterior-painting-of-post-office.html
12,Historical Society Strategic Plan,https://americasbiz.net/bid_opportunities/2019/11/02/state/46/9838339-historical-society-strategic-plan.html
13,Historical Society Strategic Plan,https://americasbiz.net/bid_opportunities/2019/11/02/state/46/9838339-historical-society-strategic-plan.html
14,*UPDATED* Water System Remedial Expansion Contracts #9,https://americasbiz.net/bid_opportunities/2019/11/02/state/46/9826643-water-system-remedial-expansion-contracts-9.html
15,*UPDATED* Water System Remedial Expansion Contracts #9,https://americasbiz.net/bid_opportunities/2019/11/02/state/46/9826643-water-system-remedial-expansion-contracts-9.html
16,RFB - Roof Replacement,https://americasbiz.net/bid_opportunities/2019/11/04/state/46/9842333-rfb---roof-replacement.html
17,RFB - Roof Replacement,https://americasbiz.net/bid_opportunities/2019/11/04/state/46/9842333-rfb---roof-replacement.html
18,*UPDATED* Coiled Aluminum License Plate Sheeting,https://americasbiz.net/bid_opportunities/2019/11/04/state/46/9830858-coiled-aluminum-license-plate-sheeting.html
19,*UPDATED* Coiled Aluminum License Plate Sheeting,https://americasbiz.net/bid_opportunities/2019/11/04/state/46/9830858-coiled-aluminum-license-plate-sheeting.html
20,*UPDATED* RFP - 2020 Watershed Work Crew,https://americasbiz.net/bid_opportunities/2019/11/05/state/46/9843916-rfp---2020-watershed-work-crew.html
21,*UPDATED* RFP - 2020 Watershed Work Crew,https://americasbiz.net/bid_opportunities/2019/11/05/state/46/9843916-rfp---2020-watershed-work-crew.html
22,*UPDATED* RFP - Blood Toxicology Testing ,https://americasbiz.net/bid_opportunities/2019/11/05/state/46/9843860-rfp---blood-toxicology-testing-.html
23,*UPDATED* RFP - Blood Toxicology Testing ,https://americasbiz.net/bid_opportunities/2019/11/05/state/46/9843860-rfp---blood-toxicology-testing-.html
24,RFP - Interpretive Panel Template Design for State Lands Trailhead Kiosks ,https://americasbiz.net/bid_opportunities/2019/11/05/state/46/9843831-rfp---interpretive-panel-template-design-for-state-lands-trailhead-kiosks-.html
25,RFP - Interpretive Panel Template Design for State Lands Trailhead Kiosks ,https://americasbiz.net/bid_opportunities/2019/11/05/state/46/9843831-rfp---interpretive-panel-template-design-for-state-lands-trailhead-kiosks-.html
26,*UPDATED* RFP - Programming and Operations of Memorial Auditorium,https://americasbiz.net/bid_opportunities/2019/11/05/state/46/9792488-rfp---programming-and-operations-of-memorial-auditorium.html
27,*UPDATED* RFP - Programming and Operations of Memorial Auditorium,https://americasbiz.net/bid_opportunities/2019/11/05/state/46/9792488-rfp---programming-and-operations-of-memorial-auditorium.html
28,Maintenance and Repair for Fire Alarm System,https://americasbiz.net/bid_opportunities/2019/11/06/state/46/9848178-maintenance-and-repair-for-fire-alarm-system.html
29,Maintenance and Repair for Fire Alarm System,https://americasbiz.net/bid_opportunities/2019/11/06/state/46/9848178-maintenance-and-repair-for-fire-alarm-system.html
30,Inpatient Ward Renovation,https://americasbiz.net/bid_opportunities/2019/11/06/state/46/9848069-inpatient-ward-renovation.html
31,Inpatient Ward Renovation,https://americasbiz.net/bid_opportunities/2019/11/06/state/46/9848069-inpatient-ward-renovation.html
32,ITB - Police Vehicles,https://americasbiz.net/bid_opportunities/2019/11/06/state/46/9846990-itb---police-vehicles.html
33,ITB - Police Vehicles,https://americasbiz.net/bid_opportunities/2019/11/06/state/46/9846990-itb---police-vehicles.html
34,ITB - Insulation and Air Sealing Services,https://americasbiz.net/bid_opportunities/2019/11/06/state/46/9846964-itb---insulation-and-air-sealing-services.html
35,ITB - Insulation and Air Sealing Services,https://americasbiz.net/bid_opportunities/2019/11/06/state/46/9846964-itb---insulation-and-air-sealing-services.html
36,Class Maintenance ,https://americasbiz.net/bid_opportunities/2019/11/06/state/46/9845054-class-maintenance-.html
37,Class Maintenance ,https://americasbiz.net/bid_opportunities/2019/11/06/state/46/9845054-class-maintenance-.html
38,Janitorial Services,https://americasbiz.net/bid_opportunities/2019/11/07/state/46/9851399-janitorial-services.html
39,Janitorial Services,https://americasbiz.net/bid_opportunities/2019/11/07/state/46/9851399-janitorial-services.html
40,Architectural Services,https://americasbiz.net/bid_opportunities/2019/11/07/state/46/9849576-architectural-services.html
41,Architectural Services,https://americasbiz.net/bid_opportunities/2019/11/07/state/46/9849576-architectural-services.html
42,Construction Management Services,https://americasbiz.net/bid_opportunities/2019/11/07/state/46/9849575-construction-management-services.html
43,Construction Management Services,https://americasbiz.net/bid_opportunities/2019/11/07/state/46/9849575-construction-management-services.html
44,*UPDATED* ITB - Sidewalk Segments STP,https://americasbiz.net/bid_opportunities/2019/11/07/state/46/9808646-itb---sidewalk-segments-stp.html
45,*UPDATED* ITB - Sidewalk Segments STP,https://americasbiz.net/bid_opportunities/2019/11/07/state/46/9808646-itb---sidewalk-segments-stp.html
46,"*UPDATED* RFP – Jacket, Softshell Jacket and Ranger Pants",https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9853040-rfp-–-jacket-softshell-jacket-and-ranger-pants.html
47,"*UPDATED* RFP – Jacket, Softshell Jacket and Ranger Pants",https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9853040-rfp-–-jacket-softshell-jacket-and-ranger-pants.html
48,Development of a CVFiber High Speed Broadband Feasibility Study and Business Plan,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9853016-development-of-a-cvfiber-high-speed-broadband-feasibility-study-and-business-plan.html
49,Development of a CVFiber High Speed Broadband Feasibility Study and Business Plan,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9853016-development-of-a-cvfiber-high-speed-broadband-feasibility-study-and-business-plan.html
50,Replacement of Existing Bridge,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9852868-replacement-of-existing-bridge.html
51,Replacement of Existing Bridge,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9852868-replacement-of-existing-bridge.html
52,Public Safety Facility Project,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9852764-public-safety-facility-project.html
53,Public Safety Facility Project,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9852764-public-safety-facility-project.html
54,Annual Cleaning Service for Boiler Plant,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9851556-annual-cleaning-service-for-boiler-plant.html
55,Annual Cleaning Service for Boiler Plant,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9851556-annual-cleaning-service-for-boiler-plant.html
56,*UPDATED* RFP - 2020 Watershed Work Crew,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9843916-rfp---2020-watershed-work-crew.html
57,*UPDATED* RFP - 2020 Watershed Work Crew,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9843916-rfp---2020-watershed-work-crew.html
58,*UPDATED* RFP - Blood Toxicology Testing ,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9843860-rfp---blood-toxicology-testing-.html
59,*UPDATED* RFP - Blood Toxicology Testing ,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9843860-rfp---blood-toxicology-testing-.html
60,*UPDATED* Coiled Aluminum License Plate Sheeting,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9830858-coiled-aluminum-license-plate-sheeting.html
61,*UPDATED* Coiled Aluminum License Plate Sheeting,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9830858-coiled-aluminum-license-plate-sheeting.html
62,*UPDATED* Request for Quotation - Fixed Stack Boat Trailer *RE-BID*,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9816059-request-for-quotation---fixed-stack-boat-trailer-re-bid.html
63,*UPDATED* Request for Quotation - Fixed Stack Boat Trailer *RE-BID*,https://americasbiz.net/bid_opportunities/2019/11/08/state/46/9816059-request-for-quotation---fixed-stack-boat-trailer-re-bid.html
64,Medicaid Management Information System (MMIS) - Claims Processing and Management Services Module,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9856544-medicaid-management-information-system-mmis---claims-processing-and-management-services-module.html
65,Medicaid Management Information System (MMIS) - Claims Processing and Management Services Module,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9856544-medicaid-management-information-system-mmis---claims-processing-and-management-services-module.html
66,*UPDATED* Enterprise Voice Over Internet Protocol Communications Solution,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9856528-enterprise-voice-over-internet-protocol-communications-solution.html
67,*UPDATED* Enterprise Voice Over Internet Protocol Communications Solution,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9856528-enterprise-voice-over-internet-protocol-communications-solution.html
68,RFP - Janitorial Services,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9856516-rfp---janitorial-services.html
69,RFP - Janitorial Services,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9856516-rfp---janitorial-services.html
70,RFP - Child Nutrition Management System,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9856491-rfp---child-nutrition-management-system.html
71,RFP - Child Nutrition Management System,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9856491-rfp---child-nutrition-management-system.html
72,RFP - Statewide Window & Door Services,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9856478-rfp---statewide-window--door-services.html
73,RFP - Statewide Window & Door Services,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9856478-rfp---statewide-window--door-services.html
74,RFP - Janitorial Services and Supplies,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9856466-rfp---janitorial-services-and-supplies.html
75,RFP - Janitorial Services and Supplies,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9856466-rfp---janitorial-services-and-supplies.html
76,"*UPDATED* Graphic and Exibit Design, Fabrication and Installation Services",https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9830875-graphic-and-exibit-design-fabrication-and-installation-services.html
77,"*UPDATED* Graphic and Exibit Design, Fabrication and Installation Services",https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9830875-graphic-and-exibit-design-fabrication-and-installation-services.html
78,*UPDATED* Vermont Business Portal,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9801992-vermont-business-portal.html
79,*UPDATED* Vermont Business Portal,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9801992-vermont-business-portal.html
80,*UPDATED* RFI - AOT Business Process Modeling Solution,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9797151-rfi---aot-business-process-modeling-solution.html
81,*UPDATED* RFI - AOT Business Process Modeling Solution,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9797151-rfi---aot-business-process-modeling-solution.html
82,*UPDATED* Prescription Monitoring System,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9763492-prescription-monitoring-system.html
83,*UPDATED* Prescription Monitoring System,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9763492-prescription-monitoring-system.html
84,*UPDATED* Law Enforcement eTicket Solution,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9741475-law-enforcement-eticket-solution.html
85,*UPDATED* Law Enforcement eTicket Solution,https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9741475-law-enforcement-eticket-solution.html
86,"*UPDATED* RFP - Computer Aided Dispatch, Records Management System Modernization",https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9723423-rfp---computer-aided-dispatch-records-management-system-modernization.html
87,"*UPDATED* RFP - Computer Aided Dispatch, Records Management System Modernization",https://americasbiz.net/bid_opportunities/2019/11/09/state/46/9723423-rfp---computer-aided-dispatch-records-management-system-modernization.html
88,"Fleet Management Maintenance, and Repairs of State-owned Vehicles",https://americasbiz.net/bid_opportunities/2019/11/12/state/46/9858833-fleet-management-maintenance-and-repairs-of-state-owned-vehicles.html
89,"Fleet Management Maintenance, and Repairs of State-owned Vehicles",https://americasbiz.net/bid_opportunities/2019/11/12/state/46/9858833-fleet-management-maintenance-and-repairs-of-state-owned-vehicles.html
90,Dry Hydrant Installation Project for June 2020,https://americasbiz.net/bid_opportunities/2019/11/12/state/46/9858831-dry-hydrant-installation-project-for-june-2020.html
91,Dry Hydrant Installation Project for June 2020,https://americasbiz.net/bid_opportunities/2019/11/12/state/46/9858831-dry-hydrant-installation-project-for-june-2020.html
92,Local Hazard Mitigation Planning Services,https://americasbiz.net/bid_opportunities/2019/11/12/state/46/9858811-local-hazard-mitigation-planning-services.html
93,Local Hazard Mitigation Planning Services,https://americasbiz.net/bid_opportunities/2019/11/12/state/46/9858811-local-hazard-mitigation-planning-services.html
94,Design and Construction of Foot Trail,https://americasbiz.net/bid_opportunities/2019/11/12/state/46/9858803-design-and-construction-of-foot-trail.html
95,Design and Construction of Foot Trail,https://americasbiz.net/bid_opportunities/2019/11/12/state/46/9858803-design-and-construction-of-foot-trail.html
96,2019 –2020 Best Plus 2.0 New and Refresher Training for Administrators,https://americasbiz.net/bid_opportunities/2019/11/12/state/46/9858775-2019-–2020-best-plus-2.0-new-and-refresher-training-for-administrators.html
97,2019 –2020 Best Plus 2.0 New and Refresher Training for Administrators,https://americasbiz.net/bid_opportunities/2019/11/12/state/46/9858775-2019-–2020-best-plus-2.0-new-and-refresher-training-for-administrators.html
98,RFP - At-the-Ready Consultant Services Bicycle and Pedestrian Scoping Study,https://americasbiz.net/bid_opportunities/2019/11/12/state/46/9858586-rfp---at-the-ready-consultant-services-bicycle-and-pedestrian-scoping-study.html
99,RFP - At-the-Ready Consultant Services Bicycle and Pedestrian Scoping Study,https://americasbiz.net/bid_opportunities/2019/11/12/state/46/9858586-rfp---at-the-ready-consultant-services-bicycle-and-pedestrian-scoping-study.html
100,RFP -  Secure Valet Bicycle Parking Service,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9861576-rfp----secure-valet-bicycle-parking-service.html
101,RFP -  Secure Valet Bicycle Parking Service,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9861576-rfp----secure-valet-bicycle-parking-service.html
102,Snow Removal Needed,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9861259-snow-removal-needed.html
103,Snow Removal Needed,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9861259-snow-removal-needed.html
104,RFP- Culvert Replacement - Engineering Services,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9861249-rfp--culvert-replacement---engineering-services.html
105,RFP- Culvert Replacement - Engineering Services,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9861249-rfp--culvert-replacement---engineering-services.html
106,Request for Quote - Compact Truck Loader,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9860944-request-for-quote---compact-truck-loader.html
107,Request for Quote - Compact Truck Loader,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9860944-request-for-quote---compact-truck-loader.html
108,Garage Plowing,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9860938-garage-plowing.html
109,Garage Plowing,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9860938-garage-plowing.html
110,Local Hazard Mitigation Plan,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9860654-local-hazard-mitigation-plan.html
111,Local Hazard Mitigation Plan,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9860654-local-hazard-mitigation-plan.html
112,*UPDATED* Telecommuncations Relay Service,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9819647-telecommuncations-relay-service.html
113,*UPDATED* Telecommuncations Relay Service,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9819647-telecommuncations-relay-service.html
114,*UPDATED* Freight Plan and Vermont State Rail Plan Updates,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9812704-freight-plan-and-vermont-state-rail-plan-updates.html
115,*UPDATED* Freight Plan and Vermont State Rail Plan Updates,https://americasbiz.net/bid_opportunities/2019/11/13/state/46/9812704-freight-plan-and-vermont-state-rail-plan-updates.html
116,ITB - Road Rehabilitation,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9863796-itb---road-rehabilitation.html
117,ITB - Road Rehabilitation,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9863796-itb---road-rehabilitation.html
118,Statements of Qualifications - Wastewater System,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9863710-statements-of-qualifications---wastewater-system.html
119,Statements of Qualifications - Wastewater System,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9863710-statements-of-qualifications---wastewater-system.html
120,RFP - Building Flourishing Communities (BFC) Initiative,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9863645-rfp---building-flourishing-communities-bfc-initiative.html
121,RFP - Building Flourishing Communities (BFC) Initiative,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9863645-rfp---building-flourishing-communities-bfc-initiative.html
122,*UPDATED* Enterprise Voice Over Internet Protocol Communications Solution,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9856528-enterprise-voice-over-internet-protocol-communications-solution.html
123,*UPDATED* Enterprise Voice Over Internet Protocol Communications Solution,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9856528-enterprise-voice-over-internet-protocol-communications-solution.html
124,"*UPDATED* RFP – Jacket, Softshell Jacket and Ranger Pants",https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9853040-rfp-–-jacket-softshell-jacket-and-ranger-pants.html
125,"*UPDATED* RFP – Jacket, Softshell Jacket and Ranger Pants",https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9853040-rfp-–-jacket-softshell-jacket-and-ranger-pants.html
126,*UPDATED* Collection Services,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9826038-collection-services.html
127,*UPDATED* Collection Services,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9826038-collection-services.html
128,*UPDATED* Vermont Business Portal,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9826029-vermont-business-portal.html
129,*UPDATED* Vermont Business Portal,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9826029-vermont-business-portal.html
130,*UPDATED* Migrant Education Data System,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9825995-migrant-education-data-system.html
131,*UPDATED* Migrant Education Data System,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9825995-migrant-education-data-system.html
132,*UPDATED* RFP - Portable Restrooms & Pumping Services *REBID*,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9757823-rfp---portable-restrooms--pumping-services-rebid.html
133,*UPDATED* RFP - Portable Restrooms & Pumping Services *REBID*,https://americasbiz.net/bid_opportunities/2019/11/14/state/46/9757823-rfp---portable-restrooms--pumping-services-rebid.html
134, Sodium Bisufite Storage Tanks ,https://americasbiz.net/bid_opportunities/2019/11/15/state/46/9866047--sodium-bisufite-storage-tanks-.html
135, Sodium Bisufite Storage Tanks ,https://americasbiz.net/bid_opportunities/2019/11/15/state/46/9866047--sodium-bisufite-storage-tanks-.html
136,RFI - Electronic Permitting System,https://americasbiz.net/bid_opportunities/2019/11/15/state/46/9866003-rfi---electronic-permitting-system.html
137,RFI - Electronic Permitting System,https://americasbiz.net/bid_opportunities/2019/11/15/state/46/9866003-rfi---electronic-permitting-system.html
138,RFP - Affinity Card Program,https://americasbiz.net/bid_opportunities/2019/11/15/state/46/9865978-rfp---affinity-card-program.html
139,RFP - Affinity Card Program,https://americasbiz.net/bid_opportunities/2019/11/15/state/46/9865978-rfp---affinity-card-program.html
140,Construction Manager for Fairfield Center School Building Addition,https://americasbiz.net/bid_opportunities/2019/11/15/state/46/9865881-construction-manager-for-fairfield-center-school-building-addition.html
141,Construction Manager for Fairfield Center School Building Addition,https://americasbiz.net/bid_opportunities/2019/11/15/state/46/9865881-construction-manager-for-fairfield-center-school-building-addition.html
142,*UPDATED* RFI - Fleet Parts Supply and Inventory Management Program,https://americasbiz.net/bid_opportunities/2019/11/15/state/46/9777942-rfi---fleet-parts-supply-and-inventory-management-program.html
143,*UPDATED* RFI - Fleet Parts Supply and Inventory Management Program,https://americasbiz.net/bid_opportunities/2019/11/15/state/46/9777942-rfi---fleet-parts-supply-and-inventory-management-program.html
